timestamp,type,mac,rssi,prediction,status
10:42:31,WIFI,AA:BB:CC:DD:EE:FF,-52,Authorized,AUTHORIZED
10:42:33,WIFI,7F:3A:12:BC:DE:F0,-61,Suspicious,ALERT
10:42:35,WIFI,3C:2A:F1:00:11:22,-84,Unknown,UNKNOWN
10:42:37,BLE,1a:2b:3c:4d:5e:6f,-73,Suspicious,ALERT
10:42:39,WIFI,AA:BB:CC:DD:EE:FF,-50,Authorized,AUTHORIZED
10:42:41,WIFI,F0:1A:2B:3C:4D:5E,-58,Suspicious,ALERT
10:42:43,BLE,9E:8D:7C:6B:5A:4F,-88,Unknown,UNKNOWN
10:42:45,WIFI,AA:BB:CC:DD:EE:FF,-55,Authorized,AUTHORIZED
10:42:47,WIFI,7F:3A:12:BC:DE:F0,-63,Suspicious,ALERT
10:42:49,BLE,B2:4F:A1:33:CD:90,-90,Unknown,UNKNOWN
10:42:51,BLE,1a:2b:3c:4d:5e:6f,-69,Suspicious,ALERT
10:42:53,WIFI,AA:BB:CC:DD:EE:FF,-48,Authorized,AUTHORIZED
10:42:55,WIFI,7F:3A:12:BC:DE:F0,-60,Suspicious,ALERT
10:42:57,WIFI,3C:2A:F1:00:11:22,-82,Unknown,UNKNOWN
10:42:59,BLE,F0:1A:2B:3C:4D:5E,-55,Suspicious,ALERT
10:43:01,WIFI,AA:BB:CC:DD:EE:FF,-53,Authorized,AUTHORIZED
10:43:03,BLE,1a:2b:3c:4d:5e:6f,-72,Suspicious,ALERT
10:43:05,BLE,9E:8D:7C:6B:5A:4F,-86,Unknown,UNKNOWN
10:43:07,WIFI,7F:3A:12:BC:DE:F0,-65,Suspicious,ALERT
10:43:09,WIFI,AA:BB:CC:DD:EE:FF,-51,Authorized,AUTHORIZED
10:43:11,BLE,3C:2A:F1:00:11:22,-79,Unknown,UNKNOWN
10:43:13,WIFI,F0:1A:2B:3C:4D:5E,-62,Suspicious,ALERT
10:43:15,WIFI,AA:BB:CC:DD:EE:FF,-54,Authorized,AUTHORIZED
10:43:17,BLE,7F:3A:12:BC:DE:F0,-67,Suspicious,ALERT
10:43:19,WIFI,B2:4F:A1:33:CD:90,-91,Unknown,UNKNOWN
10:43:21,WIFI,AA:BB:CC:DD:EE:FF,-49,Authorized,AUTHORIZED
10:43:23,BLE,1a:2b:3c:4d:5e:6f,-75,Suspicious,ALERT
10:43:25,WIFI,3C:2A:F1:00:11:22,-83,Unknown,UNKNOWN
10:43:27,WIFI,7F:3A:12:BC:DE:F0,-59,Suspicious,ALERT
10:43:29,WIFI,AA:BB:CC:DD:EE:FF,-53,Authorized,AUTHORIZED
